item_id,name,total_gold,FlatHPPoolMod,rFlatHPModPerLevel,FlatMPPoolMod,rFlatMPModPerLevel,PercentHPPoolMod,PercentMPPoolMod,FlatHPRegenMod,rFlatHPRegenModPerLevel,PercentHPRegenMod,FlatMPRegenMod,rFlatMPRegenModPerLevel,PercentMPRegenMod,FlatArmorMod,rFlatArmorModPerLevel,PercentArmorMod,rFlatArmorPenetrationMod,rFlatArmorPenetrationModPerLevel,rPercentArmorPenetrationMod,rPercentArmorPenetrationModPerLevel,FlatPhysicalDamageMod,rFlatPhysicalDamageModPerLevel,PercentPhysicalDamageMod,FlatMagicDamageMod,rFlatMagicDamageModPerLevel,PercentMagicDamageMod,FlatMovementSpeedMod,rFlatMovementSpeedModPerLevel,PercentMovementSpeedMod,rPercentMovementSpeedModPerLevel,FlatAttackSpeedMod,PercentAttackSpeedMod,rPercentAttackSpeedModPerLevel,rFlatDodgeMod,rFlatDodgeModPerLevel,PercentDodgeMod,FlatCritChanceMod,rFlatCritChanceModPerLevel,PercentCritChanceMod,FlatCritDamageMod,rFlatCritDamageModPerLevel,PercentCritDamageMod,FlatBlockMod,PercentBlockMod,FlatSpellBlockMod,rFlatSpellBlockModPerLevel,PercentSpellBlockMod,FlatEXPBonus,PercentEXPBonus,rPercentCooldownMod,rPercentCooldownModPerLevel,rFlatTimeDeadMod,rFlatTimeDeadModPerLevel,rPercentTimeDeadMod,rPercentTimeDeadModPerLevel,rFlatGoldPer10Mod,rFlatMagicPenetrationMod,rFlatMagicPenetrationModPerLevel,rPercentMagicPenetrationMod,rPercentMagicPenetrationModPerLevel,FlatEnergyRegenMod,rFlatEnergyRegenModPerLevel,FlatEnergyPoolMod,rFlatEnergyModPerLevel,PercentLifeStealMod,PercentSpellVampMod
1001,Boots,300,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
1011,Giant's Belt,900,350,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
1018,Cloak of Agility,600,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
1026,Blasting Wand,850,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
1027,Sapphire Crystal,350,0,0,250,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
1028,Ruby Crystal,400,150,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
1029,Cloth Armor,300,0,0,0,0,0,0,0.0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
1031,Chain Vest,800,0,0,0,0,0,0,0.0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
1033,Null-Magic Mantle,450,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
1036,Long Sword,350,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
